,id_,type_,latitude,longitude,geometry,aeroway,level,operator,ref,source,name,holding_position:type,length,surface,width,building,building:levels,layer,roof:levels,roof:shape,wheelchair,bridge,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,aerodrome,aerodrome:type,contact:website,ele,iata,icao,internet_access,internet_access:fee,internet_access:ssid,name:en,owner,rank_aci:2016,website,wikidata,wikipedia,highway,type
0,947039257,node,39.85887,-104.6702078,,gate,2,United,B49,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,947039265,node,39.8585764,-104.6793516,,gate,2,United,B16,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,947039284,node,39.8541805,-104.6744751,,gate,2,Icelandair,A39,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,947039295,node,39.8588747,-104.6722226,,gate,2,United,B41,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,947039299,node,39.853818,-104.6687407,,gate,1,,A63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,947039300,node,39.8588679,-104.669209,,gate,2,United,B53,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,947039309,node,39.8632452,-104.6750647,,gate,2,Southwest,C35,,C35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,947039330,node,39.8628861,-104.6718534,,gate,2,Southwest,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,947039339,node,39.8585092,-104.6730121,,gate,2,United,B38,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,947039341,node,39.8536733,-104.6770185,,gate,2,Frontier,A26,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,947039355,node,39.8588707,-104.6705505,,gate,2,United,B47,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,947039372,node,39.8585724,-104.6789795,,gate,2,United,B18,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,947039373,node,39.8632428,-104.6746475,,gate,2,Southwest,C37,,C37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,947039406,node,39.8540023,-104.6769833,,gate,2,Frontier,A29,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,947039426,node,39.8585045,-104.6708116,,gate,2,United,B46,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,947039431,node,39.8589006,-104.675519,,gate,2,United,B31,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,947039444,node,39.8588751,-104.672562,,gate,2,United,B39,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,947039465,node,39.8536331,-104.6730879,,gate,2,Frontier,A40,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,947039490,node,39.8628943,-104.67273,,gate,2,Delta,C42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,947039495,node,39.858501,-104.669216,,gate,2,United,B54,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,947039507,node,39.8585074,-104.6721542,,gate,2,United,B42,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,947039511,node,39.8536733,-104.6768471,,gate,2,Frontier,A28,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,947039529,node,39.858872,-104.6711199,,gate,2,United,B45,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,947039543,node,39.853628,-104.671157,,gate,2,,A48,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,947039547,node,39.8585702,-104.6787246,,gate,2,United,B20,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,947039550,node,39.8628898,-104.674971,,gate,2,Delta,C36,,C36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,947039565,node,39.8589085,-104.676615,,gate,2,United,B27,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,947039578,node,39.8585479,-104.6756942,,gate,2,United,B32,yahoo_wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
