;Departure;Destination;Fleet;Aircraft;ID;Airline;FlightNumber;STD;ATD;STA;ATA
0;EDDM;LDRI;DH8D;9A-CQD;M34TEK;CTN;OU4435;01.09.2019 08:15;01.09.2019 08:31;01.09.2019 09:20;01.09.2019 09:22
1;EDDM;EDDK;E195;D-AEMC;KKB3ER;DLH;LH1990;01.09.2019 13:45;01.09.2019 14:01;01.09.2019 14:50;01.09.2019 14:47
2;EDDM;EDDT;A320;D-AIZE;1B8KXM;DLH;LH2052;01.09.2019 18:00;01.09.2019 18:26;01.09.2019 19:05;01.09.2019 19:12
3;EDDM;UUDD;A320;D-AIQA;3IRTIW;DLH;LH2528;01.09.2019 09:05;01.09.2019 09:30;01.09.2019 12:10;01.09.2019 12:25
4;EDDM;ESSA;B737;SE-RER;HBY0PY;SAS;SK2660;01.09.2019 10:00;01.09.2019 10:24;01.09.2019 12:10;01.09.2019 12:13
5;EDDM;LQSA;A320;D-AIUU;3TV0U1;DLH;LH1730;01.09.2019 08:50;01.09.2019 09:08;01.09.2019 10:10;01.09.2019 10:16
6;EDDM;LTAI;A320;D-AIZC;MOQ3ZZ;DLH;LH2642;01.09.2019 07:00;01.09.2019 07:12;01.09.2019 09:55;01.09.2019 09:44
7;EDDM;EDDT;A319;OE-LKK;XLZHFU;EZY;U25560;01.09.2019 04:10;01.09.2019 04:19;01.09.2019 05:30;01.09.2019 05:11
8;EDDM;LLBG;A321;D-AIDB;WH1EAX;DLH;LH680;01.09.2019 20:55;01.09.2019 21:34;02.09.2019 00:35;02.09.2019 00:44
9;EDDM;LTFM;A21N;TC-LSA;56GL76;THY;TK1638;01.09.2019 05:25;01.09.2019 05:48;01.09.2019 08:10;01.09.2019 08:04
10;EDDM;EDDN;CRJ9;D-ACNI;F9RNCK;DLH;LH2156;01.09.2019 06:40;01.09.2019 06:59;01.09.2019 07:15;01.09.2019 07:23
11;EDDM;ENGM;A321;D-AIDE;XXXFPL;DLH;LH2454;01.09.2019 14:00;01.09.2019 14:33;01.09.2019 16:10;01.09.2019 16:18
12;EDDM;LTAI;B738;TC-SOB;EFPP4Q;SXS;XQ137;01.09.2019 17:10;01.09.2019 17:54;01.09.2019 20:05;01.09.2019 20:41
13;EDDM;EPWR;CRJ9;S5-AAN;1ZGORW;ADR;LH1634;01.09.2019 20:15;01.09.2019 20:49;01.09.2019 21:20;01.09.2019 21:48
14;EDDM;EDLP;CRJ9;D-ACKI;V20170;DLH;LH2180;01.09.2019 16:50;01.09.2019 17:05;01.09.2019 17:50;01.09.2019 17:50
15;EDDM;EDDT;A321;D-AIRB;CQVBIJ;DLH;LH2034;01.09.2019 07:00;01.09.2019 07:24;01.09.2019 08:05;01.09.2019 08:10
16;EDDM;EDDH;A321;D-AIRB;7IAENO;DLH;LH2070;01.09.2019 11:15;01.09.2019 11:45;01.09.2019 12:30;01.09.2019 12:41
17;EDDM;DTTJ;A320;TS-IMI;ZHTYO1;TAR;TU4283;01.09.2019 08:45;01.09.2019 09:56;01.09.2019 11:10;01.09.2019 12:12
18;EDDM;LEBB;A319;D-AILP;GJO05B;DLH;LH1826;01.09.2019 13:45;01.09.2019 14:09;01.09.2019 15:55;01.09.2019 16:02
19;EDDM;EDDG;CRJ9;D-ACKG;7FNNX8;DLH;LH2142;01.09.2019 13:55;01.09.2019 14:15;01.09.2019 15:05;01.09.2019 15:04
20;EDDM;LOWW;E195;OE-LWN;OBVJY1;AUA;OS112;01.09.2019 06:15;01.09.2019 06:34;01.09.2019 07:20;01.09.2019 07:11
21;EDDM;LRIA;B735;YR-AME;TDZL3B;BMS;0B6886;01.09.2019 15:20;01.09.2019 16:00;01.09.2019 17:20;01.09.2019 17:44
